Reference, Value, Footprint, Datasheet
"R4","220","Resistors_SMD:R_0805_HandSoldering","","",""
"C2","100n","Capacitors_SMD:C_0805_HandSoldering","","",""
"C7","100n","Capacitors_SMD:C_0805_HandSoldering","","",""
"R1","10k","Resistors_SMD:R_0805_HandSoldering","","",""
"Y1","Crystal 12MHz","Crystals:Crystal_HC49-SD_SMD","","",""
"C5","22p","Capacitors_SMD:C_0805_HandSoldering","","",""
"C3","22p","Capacitors_SMD:C_0805_HandSoldering","","",""
"D1","1N4001","Diodes_SMD:SMA_Handsoldering","","",""
"C4","100n","Capacitors_SMD:C_0805_HandSoldering","","",""
"C6","100n","Capacitors_SMD:C_0805_HandSoldering","","",""
"C1","100u","Capacitors_SMD:c_elec_6.3x5.7","","",""
"C8","100u","Capacitors_SMD:c_elec_6.3x5.7","","",""
"P1","POWER 12V DC","Pin_Headers:Pin_Header_Straight_1x02","","",""
"Q1","BC817-40","TO_SOT_Packages_SMD:SOT-23_Handsoldering","","",""
"IC1","ATMEGA8A-A","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","","",""
"D2","1N4001","Diodes_SMD:SMA_Handsoldering","","",""
"P3","CPU LUEFTER","Pin_Headers:Pin_Header_Straight_1x04","","",""
"AFF1","7SEGMENTS","Displays_7-Segment:HDSP-78xx","","",""
"U2","CD4543","SMD_Packages:SO-16-N","","",""
"R5","150","Resistors_SMD:R_0805_HandSoldering","","",""
"R9","150","Resistors_SMD:R_0805_HandSoldering","","",""
"R6","150","Resistors_SMD:R_0805_HandSoldering","","",""
"R7","150","Resistors_SMD:R_0805_HandSoldering","","",""
"R8","150","Resistors_SMD:R_0805_HandSoldering","","",""
"R10","150","Resistors_SMD:R_0805_HandSoldering","","",""
"R11","150","Resistors_SMD:R_0805_HandSoldering","","",""
"R3","10k","Resistors_SMD:R_0805_HandSoldering","","",""
"SW1","SW_PUSH","Buttons_Switches_ThroughHole:SW_PUSH_SMALL","","",""
"R2","10k","Resistors_SMD:R_0805_HandSoldering","","",""
"P2","ISP","Pin_Headers:Pin_Header_Straight_2x03","","",""
"C9","1u","Capacitors_SMD:C_0805_HandSoldering","","",""
"U1","7805","TO_SOT_Packages_SMD:SOT-404","","",""
